YEAR,POPULATION,BIRTHS_PER_1000,BIRTHS_BETWEEN_BENCHMARKS,NUMBER_EVER_BORN,PERCENT_OF_THOSE_EVER_BORN
-190000,2,80,,0,0
-50000,2000000,80,7856100000,7856100002,0
-8000,5000000,80,1137789769,8993889771,0.1
1,300000000,80,46025332354,55019222125,0.5
1200,450000000,60,26591343000,81610565125,0.6
1650,500000000,60,12782002453,94392567578,0.5
1750,795000000,50,3171931513,97564499091,0.8
1850,1265000000,40,4046240009,101610739100,1.2
1900,1656000000,40,2900237856,104510976956,1.6
1950,2499000000,35,3390198215,107901175171,2.3
2000,6149000000,22,6064994884,113966170055,5.4
2010,6986000000,20,1364003405,115330173460,6.1
2022,7963500000,17,1690275115,117020448575,6.8
2035,8899000000,16,1758578889,118779027464,7.5
2050,9752000000,14,2068409608,120847437072,8.1